paper_id,title,file_name,year,priority,extraction_quality,evidence_type,evidence_text,page_est,keyword,confidence
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,2025,low,good,abstract,"The synthesis of sequence-controlled block copoly-
mers from a mixture of cyclic ester monomers represents a
significant challenge. In this study, we demonstrate the selective
and self-switchable ring-opening polymerization (ROP) of three
different cyclic ester monomers (lactide (LA), rac-β-butyrolactone
(rac-β-BL)andε-caprolactone(ε-CL))toblockcopolymersofthe
form (AB) (BC) using a highly selective yttrium catalyst. Each
x y
block contains units from two monomers and completely excludes
onemono",1,abstract,high
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,2025,low,good,excerpt,"Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures David J. E. Seed, Amelia B. Milner, George R. Walker, and Rachel H. Platel*",1,ring-opening,medium
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,2025,low,good,excerpt,"and self-switchable ring-opening polymerization (ROP) of three different cyclic ester monomers (lactide (LA), rac-β-butyrolactone",1,ring-opening,medium
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,2025,low,good,excerpt,(rac-β-BL)andε-caprolactone(ε-CL))toblockcopolymersofthe form (AB) (BC) using a highly selective yttrium catalyst. Each,1,caprolactone,medium
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,2025,low,good,excerpt,"wheremicrophase separation of the constituent blocksoccurs, rac-β-BL using an yttrium amine bis(phenolate catalyst).49",1,microphase,medium
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,2025,low,good,excerpt,"at40°CinCHCl usingdn/dcvaluesof0.024(PLA),0.033(P3HB)and0.11(PCL)andusingdn/dc(copolymer)=(0.033×weightfractionB/ 3",3,pcl,medium
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,2025,low,good,figure_caption,"Structureof 1.
mixture and/or the identity of the growing polymer chain-
end.11,12 This concept was first demonstrated by Coates and
co-workers in the terpolymerization of anhydride, CO and Received: March27,2025
2
cyclohexene oxide (CHO),13 and Williams and co-workers Revised: June12,2025
with the ",,Figure 1,medium
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,2025,low,good,figure_caption,"Structuresof 2−4. It was of interest to determine the microstructure of the
individual blocks in these novel block copolymers. In the
copolymerization of rac-LA and rac-β-BL using 1, it is shown
(SiHMe ) ) (THF) in the polymerization reaction leads to that, in the presence of any rac-LA, no BB homod",,Figure 3,medium
P151,Switchable Ring-Opening Polymerization of Cyclic Ester Mixtures,P151_unidentified.pdf,2025,low,good,figure_caption,"Main plot: Monomer conversion over time in a after 50 min total reaction time.
polymerization reaction, initially of S,S-LA (blue circles) and ε-CL The ability of a low concentration of LA to completely halt
catalyzed(greentriangles)by1(blueregion).Rac-β-BL(redsquares) thereactionofε-CLandseverelyre",,Figure 4,medium
P166,"Conjugation-Disruption Strategy Enables Colorless, Chemically",P166_unidentified.pdf,2025,low,good,abstract,"Developing high-refractive-index polymers (HRIPs) that simulta-
neously exhibit high optical transparency, mechanical robustness, and excellent
sustainability remains a formidable challenge. Herein, we report a conjugation-
disruption strategy to fabricate colorless and chemically recyclable HRIPs with
highmechanicalrobustnessandefficientchemicalrecyclability,denotedasPTU-4.
Synthesized via the copolymerization of 4,4′-thiobisbenzenethiol (TB), hexam-
ethylene diisocyanate, and phenol-functional",1,abstract,high
